DESCRIZIONE,ANNO1,ANNO2,KATA,KUMITE,PESOINIZIALE,PESOFINALE,CINTURADA,CINTURAA,SESSO,NOTE

KATA NAZIONALE

'Fascia A', 2017, 2015, 1, 0, 0, 0, 1, 1, 'M', 'Bianca'
'Fascia A', 2017, 2015, 1, 0, 0, 0, 2, 3, 'M', 'Gialla/Arancio'
'Fascia A', 2017, 2015, 1, 0, 0, 0, 4, 5, 'M', 'Verde/Blu'
'Fascia A', 2017, 2015, 1, 0, 0, 0, 1, 1, 'F', 'Bianca'
'Fascia A', 2017, 2015, 1, 0, 0, 0, 2, 3, 'F', 'Gialla/Arancio'
'Fascia A', 2017, 2015, 1, 0, 0, 0, 4, 5, 'F', 'Verde/Blu'
'Fascia B', 2014, 2013, 1, 0, 0, 0, 1, 1, 'M', 'Bianca'
'Fascia B', 2014, 2013, 1, 0, 0, 0, 2, 3, 'M', 'Gialla/Arancio'
'Fascia B', 2014, 2013, 1, 0, 0, 0, 4, 5, 'M', 'Verde/Blu'
'Fascia B', 2014, 2013, 1, 0, 0, 0, 6, 6, 'M', 'Marrone'
'Fascia B', 2014, 2013, 1, 0, 0, 0, 1, 1, 'F', 'Bianca'
'Fascia B', 2014, 2013, 1, 0, 0, 0, 2, 3, 'F', 'Gialla/Arancio'
'Fascia B', 2014, 2013, 1, 0, 0, 0, 4, 5, 'F', 'Verde/Blu'
'Fascia B', 2014, 2013, 1, 0, 0, 0, 6, 6, 'F', 'Marrone'
'Fascia C', 2012, 2011, 1, 0, 0, 0, 1, 1, 'M', 'Bianca'
'Fascia C', 2012, 2011, 1, 0, 0, 0, 2, 3, 'M', 'Gialla/Arancio'
'Fascia C', 2012, 2011, 1, 0, 0, 0, 4, 5, 'M', 'Verde/Blu'
'Fascia C', 2012, 2011, 1, 0, 0, 0, 6, 7, 'M', 'Marrone/Nera'
'Fascia C', 2012, 2011, 1, 0, 0, 0, 1, 1, 'F', 'Bianca'
'Fascia C', 2012, 2011, 1, 0, 0, 0, 2, 3, 'F', 'Gialla/Arancio'
'Fascia C', 2012, 2011, 1, 0, 0, 0, 4, 5, 'F', 'Verde/Blu'
'Fascia C', 2012, 2011, 1, 0, 0, 0, 6, 7, 'F', 'Marrone/Nera'
'Esordienti dal 13mo al 14mo anno', 2010, 2009, 1, 0, 0, 0, 1, 1, 'M', 'Bianca'
'Esordienti dal 13mo al 14mo anno', 2010, 2009, 1, 0, 0, 0, 2, 3, 'M', 'Gialla/Arancio'
'Esordienti dal 13mo al 14mo anno', 2010, 2009, 1, 0, 0, 0, 4, 5, 'M', 'Verde/Blu'
'Esordienti dal 13mo al 14mo anno', 2010, 2009, 1, 0, 0, 0, 6, 7, 'M', 'Marrone/Nera'
'Esordienti dal 13mo al 14mo anno', 2010, 2009, 1, 0, 0, 0, 1, 1, 'F', 'Bianca'
'Esordienti dal 13mo al 14mo anno', 2010, 2009, 1, 0, 0, 0, 2, 3, 'F', 'Gialla/Arancio'
'Esordienti dal 13mo al 14mo anno', 2010, 2009, 1, 0, 0, 0, 4, 5, 'F', 'Verde/Blu'
'Esordienti dal 13mo al 14mo anno', 2010, 2009, 1, 0, 0, 0, 6, 7, 'F', 'Marrone/Nera'
'Cadetti dal 15mo al 16mo anno', 2008, 2007, 1, 0, 0, 0, 1, 1, 'M', 'Bianca'
'Cadetti dal 15mo al 16mo anno', 2008, 2007, 1, 0, 0, 0, 2, 3, 'M', 'Gialla/Arancio'
'Cadetti dal 15mo al 16mo anno', 2008, 2007, 1, 0, 0, 0, 4, 5, 'M', 'Verde/Blu'
'Cadetti dal 15mo al 16mo anno', 2008, 2007, 1, 0, 0, 0, 6, 6, 'M', 'Marrone'
'Cadetti dal 15mo al 16mo anno', 2008, 2007, 1, 0, 0, 0, 7, 7, 'M', 'Nera'
'Cadetti dal 15mo al 16mo anno', 2008, 2007, 1, 0, 0, 0, 1, 1, 'F', 'Bianca'
'Cadetti dal 15mo al 16mo anno', 2008, 2007, 1, 0, 0, 0, 2, 3, 'F', 'Gialla/Arancio'
'Cadetti dal 15mo al 16mo anno', 2008, 2007, 1, 0, 0, 0, 4, 5, 'F', 'Verde/Blu'
'Cadetti dal 15mo al 16mo anno', 2008, 2007, 1, 0, 0, 0, 6, 6, 'F', 'Marrone'
'Cadetti dal 15mo al 16mo anno', 2008, 2007, 1, 0, 0, 0, 7, 7, 'F', 'Nera'
'Speranze dal 17mo al 19mo anno', 2006, 2004, 1, 0, 0, 0, 1, 1, 'M', 'Bianca'
'Speranze dal 17mo al 19mo anno', 2006, 2004, 1, 0, 0, 0, 2, 3, 'M', 'Gialla/Arancio'
'Speranze dal 17mo al 19mo anno', 2006, 2004, 1, 0, 0, 0, 4, 5, 'M', 'Verde/Blu'
'Speranze dal 17mo al 19mo anno', 2006, 2004, 1, 0, 0, 0, 6, 6, 'M', 'Marrone'
'Speranze dal 17mo al 19mo anno', 2006, 2004, 1, 0, 0, 0, 7, 7, 'M', 'Nera'
'Speranze dal 17mo al 19mo anno', 2006, 2004, 1, 0, 0, 0, 1, 1, 'F', 'Bianca'
